id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
16,ɑɪ,AI,,false,VOWEL,15
10,ə,@,,false,VOWEL,7
36,n,n,,false,CONSONANT,5
18,t,t,,false,CONSONANT,3
39,w,w,,false,CONSONANT,3
6,ʌ,V,,false,CONSONANT,3
35,m,m,,false,CONSONANT,2
1,ɑ,A,,false,VOWEL,2
7,ɛ,E,,false,VOWEL,2
8,ɪ,I,,false,VOWEL,2
78,ˈ,"""",,false,,2
3,u,u,,false,VOWEL,1
83,.,.,,false,,0
82,_,_,,false,,0
12,aʊ,aU,,false,VOWEL,0
20,b,b,,false,CONSONANT,0
21,d,d,,false,CONSONANT,0
24,dʒ,dZ,,false,CONSONANT,0
25,f,f,,false,CONSONANT,0
22,g,g,,false,CONSONANT,0
33,h,h,,false,CONSONANT,0
4,i,i,,false,VOWEL,0
40,j,j,,false,CONSONANT,0
19,k,k,,false,CONSONANT,0
34,l,l,,false,CONSONANT,0
17,p,p,,false,CONSONANT,0
38,r,r,,false,CONSONANT,0
11,r̩,r_=,,false,CONSONANT,0
29,s,s,,false,CONSONANT,0
23,tʃ,tS,,false,CONSONANT,0
26,v,v,,false,CONSONANT,0
30,z,z,,false,CONSONANT,0
5,æ,{,,false,VOWEL,0
28,ð,D,,false,CONSONANT,0
37,ŋ,N,,false,CONSONANT,0
2,ɔ,O,,false,VOWEL,0
13,ɔɪ,OI,,false,VOWEL,0
14,əʊ,@U,,false,VOWEL,0
15,ɛɪ,EI,,false,VOWEL,0
81,ɝ,@`,,false,,0
31,ʃ,S,,false,CONSONANT,0
9,ʊ,U,,false,VOWEL,0
32,ʒ,Z,,false,CONSONANT,0
79,ˌ,%,,false,,0
27,θ,T,,false,CONSONANT,0
