id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
41,ɑ,A,,false,VOWEL,83
55,n,n,,false,CONSONANT,54
46,m,m,,false,CONSONANT,26
43,i,i,,false,VOWEL,20
80,ˈ,"""",,false,,11
66,ʄ,j_<,,false,CONSONANT,9
69,j,j,,false,CONSONANT,8
49,p,p,,false,CONSONANT,8
44,ɔ,O,,false,VOWEL,8
62,ɾ,4,,false,CONSONANT,8
61,s,s,,false,CONSONANT,3
58,t,t,,false,CONSONANT,2
73,k,k,,false,CONSONANT,1
45,u,u,,false,VOWEL,1
48,ɓ,b_<,,false,CONSONANT,1
84,.,.,,false,,0
52,f,f,,false,CONSONANT,0
77,h,h,,false,CONSONANT,0
63,l,l,,false,CONSONANT,0
47,mb,mb,,false,CONSONANT,0
50,mv,mv,,false,CONSONANT,0
56,nd,nd,,false,CONSONANT,0
59,nz,nz,,false,CONSONANT,0
67,tʃ,tS,,false,CONSONANT,0
51,v,v,,false,CONSONANT,0
76,w,w,,false,CONSONANT,0
75,x,x,,false,CONSONANT,0
60,z,z,,false,CONSONANT,0
53,ð,D,,false,CONSONANT,0
70,ŋ,N,,false,CONSONANT,0
71,ŋɡ,Nɡ,,false,CONSONANT,0
57,ɗ,d_<,,false,CONSONANT,0
42,ɛ,E,,false,VOWEL,0
72,ɠ,g_<,,false,CONSONANT,0
74,ɣ,G,,false,CONSONANT,0
64,ɲ,J,,false,CONSONANT,0
65,ɲɟ,Jj\,,false,CONSONANT,0
68,ʃ,S,,false,CONSONANT,0
54,θ,T,,false,CONSONANT,0
