id,title,description,content_license,attribution_url,reading_level,cover_image_id,chapters
59,Ah! Mpira!,"Mvulana mdogo alitumwa dukani na bibiye kununua vitu vichache. Anaambatana na rafikiye na kucheza mpira. Je,  atampelekea bibi alichotumwa?",CREATIVE_COMMONS_CC_BY,https://digitallibrary.io/sw-ke/books/details/28,LEVEL2,408,"[{""sortOrder"":0,""id"":20,""storyBookParagraphs"":[{""originalText"":""\nMimi ninapenda kucheza na rafiki yangu Chuma.\n"",""sortOrder"":0,""id"":25}]},{""sortOrder"":1,""id"":21,""storyBookParagraphs"":[{""originalText"":""\nMimi na Chuma tunapendana sana. Tukitumwa,  tunaenda pamoja.\n"",""sortOrder"":0,""id"":26}]},{""sortOrder"":2,""id"":22,""storyBookParagraphs"":[{""originalText"":""\nSiku moja nilitumwa na bibi dukani nikanunue chumvi na mafuta. Nilienda na Chuma.\n"",""sortOrder"":0,""id"":27}]},{""sortOrder"":3,""id"":23,""storyBookParagraphs"":[{""originalText"":""\nTukiwa njiani, tuliwaona watoto wenzetu wakicheza mpira wa miguu.\n"",""sortOrder"":0,""id"":28}]},{""sortOrder"":4,""id"":24,""storyBookParagraphs"":[{""originalText"":""\nMimi nilitamani sana kucheza mpira huo. Nilisema,  \""Ah! Mpira!\""\n"",""sortOrder"":0,""id"":29}]},{""sortOrder"":5,""id"":25,""storyBookParagraphs"":[{""originalText"":""\nNilimwambia Chuma, \""Twende tuwaombe kucheza nao mpira. Mimi hupenda mpira wa miguu.\""\n"",""sortOrder"":0,""id"":30}]},{""sortOrder"":6,""id"":26,""storyBookParagraphs"":[{""originalText"":""\nChuma alinijibu, \""Twende kwanza dukani, halafu turudi kucheza.\""\n"",""sortOrder"":0,""id"":31}]},{""sortOrder"":7,""id"":27,""storyBookParagraphs"":[{""originalText"":""\nLakini, nilimwambia Chuma, \""Tucheze kwanza wewe! Tukienda nyumbani bibi hataturuhusu.\""\n"",""sortOrder"":0,""id"":32}]},{""sortOrder"":8,""id"":28,""storyBookParagraphs"":[{""originalText"":""\nTulikubaliwa na wenzetu tukacheza mpira. Nilikuwa golikipa.\n"",""sortOrder"":0,""id"":33}]},{""sortOrder"":9,""id"":29,""storyBookParagraphs"":[{""originalText"":""\nNilijitahidi kudaka mpira. Wenzangu hawakuweza kufunga goli hata moja.\n"",""sortOrder"":0,""id"":34}]},{""sortOrder"":10,""id"":30,""storyBookParagraphs"":[{""originalText"":""\nUwanja tuliochezea ulikuwa na mchanga mwingi. Magoli yake yalikuwa mawe makubwa.\n"",""sortOrder"":0,""id"":35}]},{""sortOrder"":11,""id"":31,""storyBookParagraphs"":[{""originalText"":""\nBaada ya mchezo, tuliondoka kwenda dukani, lakini, hatukuwa na pesa. Nilianza kulia. Chuma alinikemea,  \""Acha kulia. Ni wewe ulitaka tucheze kabla ya kwenda dukani.\""\n"",""sortOrder"":0,""id"":36}]},{""sortOrder"":12,""id"":32,""storyBookParagraphs"":[{""originalText"":""\nTulirudi nyumbani bila chumvi wala mafuta. Pia, tulikuwa tumechafuka kweli kweli.\n"",""sortOrder"":0,""id"":37}]},{""sortOrder"":13,""id"":33,""storyBookParagraphs"":[{""originalText"":""\nTulimkuta bibi amekasirika mno. Alituuliza, \""Mmekuwa wapi muda huu wote?\""\n"",""sortOrder"":0,""id"":38}]},{""sortOrder"":14,""id"":34,""storyBookParagraphs"":[{""originalText"":""\nAlipogundua kuwa tulipoteza hela, alisema,  \""Nawasamehe leo, lakini, msirudie tena kucheza bila ruhusa.\""\n"",""sortOrder"":0,""id"":39}]},{""sortOrder"":15,""id"":35,""storyBookParagraphs"":[{""originalText"":""\nTulipoona tumesamehewa, tulienda haraka kuwalisha kuku na bata. Baadaye, tulioga na kuwa wasafi.\n"",""sortOrder"":0,""id"":40}]}]"
36,Ajali mbaya,,CREATIVE_COMMONS_CC_BY,http://www.africanstorybook.org/reader.php?id=10555,LEVEL1,350,[]
35,Barua,,CREATIVE_COMMONS_CC_BY,http://www.africanstorybook.org/reader.php?id=2912,LEVEL1,351,[]
34,Barua kwa mama,Mama anaenda hospitalini kujifungua mtoto na bintiye anamwandikia barua.,CREATIVE_COMMONS_CC_BY,https://digitallibrary.io/sw-ke/books/details/56,LEVEL1,353,[]
24,Basi kubwa la bluu,,CREATIVE_COMMONS_CC_BY,http://www.africanstorybook.org/reader.php?id=12428,LEVEL3,354,[]
58,Binti wa Mflame Kayanja,Hadithi ya mapenzi yenye huzuni kumhusu binti mrembo wa kifalme anayeamua kufuata moyo wake badala ya alivyotaka babake.,CREATIVE_COMMONS_CC_BY,https://digitallibrary.io/sw-ke/books/details/27,LEVEL4,,"[{""sortOrder"":0,""id"":2,""storyBookParagraphs"":[{""originalText"":""\nHapo zamani za kale, aliishi Mfalme kwa jina Kayanja. Waliishi katika kasri kubwa yeye, mkewe malkia na Apenyo binti yao. Apenyo alikuwa msichana mrembo. Kila mwanmme alitaka kumwoa,  lakini mfalme Kayanja alitaka mahari ya juu sana.\n"",""sortOrder"":0,""id"":1}]},{""sortOrder"":1,""id"":3,""storyBookParagraphs"":[{""originalText"":""\nKaribu na kasri la mfalme Kayanja, aliishi Chifu Aludah Mkuu. Aliitwa 'Mkuu' kwa sababu kila aliyeishi pale kijijini, alimtii. Chifu Aludah alikuwa amempoteza mkewe kutokana na ugonjwa wa malaria. Alitaka kuoa mke mwingine.\n"",""sortOrder"":0,""id"":2}]},{""sortOrder"":2,""id"":4,""storyBookParagraphs"":[{""originalText"":""\nChifu Aludah alikuwa mzee mfupi mwenye upara. Aliamua kupeleka mahari kwa Mfalme Kayanja ili amwoe bintiye. Walipokuwa wakijadili mahari,  kijakazi wa Mfalme, kwa jina Kakembo, aliyasikia mazungumzo yao. Kakembo alikuwa na uhusiano wa karibu sana na Apenyo.\n"",""sortOrder"":0,""id"":3}]},{""sortOrder"":3,""id"":5,""storyBookParagraphs"":[{""originalText"":""\nChifu Aludah alikubali kumpa Mfalme Kayanja nusu ya mali yake. Pia alileta sindano ambayo ilikuwa sehemu ya mahari aliyoleta. Matayarisho ya harusi yalifanywa kisisrisiri baina ya Mfalme Kayanja na Chifu Aludah. Mfalme Kayanja alijua kwamba bintiye hangefurahia uamuzi huo.\n"",""sortOrder"":0,""id"":4}]},{""sortOrder"":4,""id"":6,""storyBookParagraphs"":[{""originalText"":""\nJuma moja kabla ya siku ya harusi hiyo ya kifalme,  Kakembo alimwambia Apenyo, \""Mpendwa binti-mfalme, babako amepanga kukuoza kwa Chifu Aludah. Harusi itafanyika katika muda wa juma moja.\""\n"",""sortOrder"":0,""id"":5}]},{""sortOrder"":5,""id"":7,""storyBookParagraphs"":[{""originalText"":""\nApenyo alishtuka asijue la kufanya. Aliwaza, \""Kamwe sitaolewa na yule mzee mwenye upara. Kamwe! Lazima nimwone Trevor, mpenzi wangu, achukue hatua bila kupoteza muda.\""\n"",""sortOrder"":0,""id"":6}]},{""sortOrder"":6,""id"":8,""storyBookParagraphs"":[{""originalText"":""\nUsiku huo Apenyo alitoroka. Babake angegundua alikokuwa akienda angekasirika sana. Alipitia kwenye msitu wa giza wenye mawe. Mwishowe, akafika kwa Trevor. Alipowasili nyumbani kwa Trevor, alikuwa amechoka, mwenye njaa na kiu.\n"",""sortOrder"":0,""id"":7}]},{""sortOrder"":7,""id"":9,""storyBookParagraphs"":[{""originalText"":""\nTrevor alimkaribisha. \""Mpenzi wangu, mbona ukakimbia umbali huu peke yako usiku?\"" Trevor aliuliza. Alimletea maji ya kunywa kisha akatulia kumsubiri Apenyo aongee.\n"",""sortOrder"":0,""id"":8}]},{""sortOrder"":8,""id"":10,""storyBookParagraphs"":[{""originalText"":""\nApenyo alikunywa maji, akashusha pumzi na kusema, \""Babangu anataka kunioza kwa chifu Aludah Mkuu. Lakini, siwezi kuolewa na yule mzee mwovu. Trevor, ningependa kuolewa nawe hata kama wewe ni maskini. Ninakupenda.\""\n"",""sortOrder"":0,""id"":9}]},{""sortOrder"":9,""id"":11,""storyBookParagraphs"":[{""originalText"":""\n\""Lakini sina chochote cha kulipia mahari.\"" Trevor alilalama. Apenyo alijibu, \""Naelewa, lakini nataka kuolewa na wewe tu.\"" Aliwaza kwa muda kisha akasema, \""Hebu twende kwa Kategga, mwenye mashua, atuvushe hadi upande mwingine wa mto tumuepuke babangu.\""\n"",""sortOrder"":0,""id"":10}]},{""sortOrder"":10,""id"":12,""storyBookParagraphs"":[{""originalText"":""\nMfalme Kayanja alipogundua kuwa bintiye ametoweka, aliamuru msako ufanywe kijijini. Walinzi na askari walimtafuta Apenyo kila mahali lakini hawakumpata. Walirudi na kumwambia Mfalme kwamba Apenyo hakuonekana popote. \""Basi tafuteni pia vichakani,\"" Mfalme Kayanja aliamrisha kwa hasira.\n"",""sortOrder"":0,""id"":11}]},{""sortOrder"":11,""id"":13,""storyBookParagraphs"":[{""originalText"":""\nTrevor na Apenyo walipokuwa wakiharakisha kwenda mtoni, mawingu meusi yalianza kukusanyika angani. Dhoruba kubwa ilikuwa inakaribia.\n"",""sortOrder"":0,""id"":12}]},{""sortOrder"":12,""id"":14,""storyBookParagraphs"":[{""originalText"":""\nKategga, mwenye mashua, alikuwa anafunga mashua yake Trevor na Apenyo walipofika. Trevor alimwmomba Kategga awavukishe hadi ng'ambo ya pili ya mto. Kategga alikataa akawaelezea kwamba dhoruba kali ilikuwa inakaribia na ingekuwa hatari kuvuka.\n"",""sortOrder"":0,""id"":13}]},{""sortOrder"":13,""id"":15,""storyBookParagraphs"":[{""originalText"":""\nTrevor alisizitiza huku akimwelezea kwa nini itawalazimu kuvuka wakati huo. Alitia mkono mfukoni na kutoa kete yenye thamani na kumpa Kategga. Kategga aliwaonea huruma akakubali kuwavusha haraka kabla ya dhoruba.\n"",""sortOrder"":0,""id"":14}]},{""sortOrder"":14,""id"":16,""storyBookParagraphs"":[{""originalText"":""\nKategga aliivuta mashua ukingoni. Wakaabiri na kuanza safari. Mfalme Kayanja na Chifu Aludah walipofika ufukweni, waliowaona watu watatu mashuani wakivuka. Wakatambua kwamba Apenyo alikuwa anatoroka.\n"",""sortOrder"":0,""id"":15}]},{""sortOrder"":15,""id"":17,""storyBookParagraphs"":[{""originalText"":""\nDhoruba kali ilisababisha mawimbi makubwa. Kategga alishindwa kudhibiti mashua. Mfalme alilia, \""Apenyo, tafadhali rudi! Nimewasamehe.\"" Mayowe yake yalikuwa ya bure. Mashua ilipinduka wote wakazama. Tangu siku hiyo, walioishi katika ufalme wa Kayanja, walimwoa waliyemtaka, tajiri au maskini.\n"",""sortOrder"":0,""id"":16}]}]"
33,Fahali na Punda,,CREATIVE_COMMONS_CC_BY,http://www.africanstorybook.org/reader.php?id=18399,LEVEL1,355,[]
29,Fisi na kunguru,,,,LEVEL3,359,[]
26,Mamba aliye mwilini mwangu,,,,LEVEL4,359,[]
63,Mamba na Mbwa,"Mbwa anakuta mayai kando ya mto na kuyapeleka nyumbani. Je,  mama mamba atasemaje atakapogundua?",CREATIVE_COMMONS_CC_BY,https://digitallibrary.io/sw-ke/books/details/55,LEVEL1,445,"[{""image"":{""id"":447},""sortOrder"":0,""id"":99,""storyBookParagraphs"":[{""originalText"":""Siku moja, Mbwa aliyapata mayai kando ya mto."",""sortOrder"":0,""id"":142}]},{""image"":{""id"":448},""sortOrder"":1,""id"":100,""storyBookParagraphs"":[{""originalText"":""Mbwa aliyaweka mayai hayo kumi katika kikapu."",""sortOrder"":0,""id"":143}]},{""image"":{""id"":449},""sortOrder"":2,""id"":101,""storyBookParagraphs"":[{""originalText"":""Mbwa aliyalinda na kuyaweka mahali kwenye joto."",""sortOrder"":0,""id"":144}]},{""image"":{""id"":450},""sortOrder"":3,""id"":102,""storyBookParagraphs"":[{""originalText"":""Mamba alimuuliza Mbwa, \u201cUmeyaona mayai yangu?\u201d"",""sortOrder"":0,""id"":145}]},{""image"":{""id"":451},""sortOrder"":4,""id"":103,""storyBookParagraphs"":[{""originalText"":""Mamba aliwauliza wanyama wote ikiwa waliyaona mayai yake."",""sortOrder"":0,""id"":146}]},{""image"":{""id"":452},""sortOrder"":5,""id"":104,""storyBookParagraphs"":[{""originalText"":""Wakati huo, mayai yaliangua moja moja."",""sortOrder"":0,""id"":147}]},{""image"":{""id"":453},""sortOrder"":6,""id"":105,""storyBookParagraphs"":[{""originalText"":""Mbwa hakuweza kuwapa mamba wachanga chakula cha kutosha."",""sortOrder"":0,""id"":148}]},{""image"":{""id"":454},""sortOrder"":7,""id"":106,""storyBookParagraphs"":[{""originalText"":""Siku moja, Mamba aliyasikia matumbo ya wanawe yakinguruma!"",""sortOrder"":0,""id"":149}]},{""image"":{""id"":455},""sortOrder"":8,""id"":107,""storyBookParagraphs"":[{""originalText"":""Mamba aliingia nyumbani akamcharaza Mbwa kwa mkia wake."",""sortOrder"":0,""id"":150}]},{""image"":{""id"":456},""sortOrder"":9,""id"":108,""storyBookParagraphs"":[{""originalText"":""Mamba alimkimbiza Mbwa barabarani."",""sortOrder"":0,""id"":151}]},{""image"":{""id"":457},""sortOrder"":10,""id"":109,""storyBookParagraphs"":[{""originalText"":""Mbwa alisimama akamwambia Mamba, \u201cNisamehe!\u201d"",""sortOrder"":0,""id"":152}]},{""image"":{""id"":458},""sortOrder"":11,""id"":110,""storyBookParagraphs"":[{""originalText"":""Mamba alimsamehe. Alienda na wanawe kuogelea."",""sortOrder"":0,""id"":153}]}]"
