id,content_type,content_license,attribution_url,title,download_url,video_format
1,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter a","/video/1.m4v",M4V
2,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter b","/video/2.m4v",M4V
3,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter c","/video/3.m4v",M4V
4,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter d","/video/4.m4v",M4V
5,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter e","/video/5.m4v",M4V
6,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter f","/video/6.m4v",M4V
7,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter g","/video/7.m4v",M4V
8,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - family","/video/8.m4v",M4V
9,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - jump jump jump","/video/9.m4v",M4V
10,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - music","/video/10.m4v",M4V
11,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - art - drawing rectangles","/video/11.m4v",M4V
12,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - numbers - one two three song","/video/12.m4v",M4V
13,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - the rectangle song","/video/13.m4v",M4V
14,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - counting compilation","/video/14.m4v",M4V
15,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - barua a","/video/15.m4v",M4V
16,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - barua b","/video/16.m4v",M4V
17,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter c","/video/17.m4v",M4V
18,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"null","akili and me - barua d","/video/18.m4v",M4V
19,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - barua e","/video/19.m4v",M4V
20,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - barua f","/video/20.m4v",M4V
21,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - barua g","/video/21.m4v",M4V
22,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - barua h","/video/22.m4v",M4V
23,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - barua i","/video/23.m4v",M4V
24,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - barua j","/video/24.m4v",M4V
25,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - barua k","/video/25.m4v",M4V
26,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - barua l","/video/26.m4v",M4V
27,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - art - drawing rectangle","/video/27.m4v",M4V
28,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - art - drawing sun","/video/28.m4v",M4V
29,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - numbers - count one two three","/video/29.m4v",M4V
30,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://literacyapp.org","akili and me - numbers - shika kichwa shika miguu","/video/30.m4v",M4V
31,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - counting compilation","/video/31.m4v",M4V
32,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter h","/video/32.m4v",M4V
33,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter i","/video/33.m4v",M4V
34,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter j","/video/34.m4v",M4V
35,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter k","/video/35.m4v",M4V
36,video/mp4,CREATIVE_COMMONS_CC_BY_NC_ND,"http://ubongo.co","akili and me - letter l","/video/36.m4v",M4V
37,video/mp4,CREATIVE_COMMONS_CC_BY,"http://ubongo.co/","kuhesabu 1 hadi 10","/video/37.mp4",MP4
38,video/mp4,CREATIVE_COMMONS_CC_BY,"http://ubongo.co/","kuhesabu lori 1 hadi 20","/video/38.mp4",MP4
39,video/mp4,CREATIVE_COMMONS_CC_BY,"http://ubongo.co/","kuhesabu vidole 1 hadi 10","/video/39.mp4",MP4
40,video/mp4,CREATIVE_COMMONS_CC_BY,"http://ubongo.co/","kuhesabu vidole vitano","/video/40.mp4",MP4
41,video/mp4,CREATIVE_COMMONS_CC_BY,"http://ubongo.co/","mamba_1_hadi_10","/video/41.mp4",MP4
42,video/mp4,null,"https://www.youtube.com/watch?v=yYcpRSQ-irs","one small step","/video/42.mp4",MP4
