id,glyph,unicode_version,unicode_emoji_version,word_ids,word_texts
28,⚽,5.2,1.0,[88],"[""football""]"
2,✋,6.0,1.0,[],[]
1,✌️,1.1,1.0,[],[]
3,✍,1.1,1.0,[],[]
46,🌙,6.0,1.0,[439],"[""moon""]"
31,🌸,6.0,1.0,[619],"[""flower""]"
36,🌽,6.0,1.0,[388],"[""corn""]"
33,🍌,6.0,1.0,[64],"[""banana""]"
4,🎓,6.0,1.0,[],[]
19,🏠,6.0,1.0,[188],"[""house""]"
49,🐀,6.0,1.0,[463],"[""rat""]"
25,🐄,6.0,1.0,[72],"[""cow""]"
24,🐈,6.0,1.0,"[69,453]","[""cat"",""pet""]"
26,🐎,6.0,1.0,[190],"[""horse""]"
16,🐐,6.0,1.0,[76],"[""goat""]"
32,🐔,6.0,1.0,[413],"[""hen""]"
18,🐕,6.0,1.0,"[98,453]","[""dog"",""pet""]"
20,🐖,6.0,1.0,[455],"[""pig""]"
29,🐘,6.0,1.0,[91],"[""elephant""]"
44,🐛,6.0,1.0,[160],"[""insect""]"
34,🐝,6.0,1.0,"[375,160]","[""bee"",""insect""]"
39,🐟,6.0,1.0,[83],"[""fish""]"
30,🐦,6.0,1.0,[67],"[""bird""]"
48,🐧,6.0,1.0,[656],"[""penguin ""]"
45,🐱,6.0,1.0,"[69,175,453]","[""cat"",""kitten"",""pet""]"
40,🐸,6.0,1.0,[87],"[""frog""]"
5,👂,6.0,1.0,[92],"[""ear""]"
23,👑,6.0,1.0,[173],"[""king""]"
21,👨,6.0,1.0,[390],"[""dad""]"
17,👩,6.0,1.0,[105],"[""mother""]"
22,👶,6.0,1.0,[65],"[""baby""]"
50,🕷️,7.0,1.0,[669],"[""spider""]"
6,🖐,7.0,1.0,[],[]
7,😀,6.1,1.0,[],[]
8,😁,6.0,1.0,[193],"[""happy""]"
9,😑,6.1,1.0,[],[]
10,😒,6.1,1.0,[],[]
11,🤣,9.0,3.0,[],[]
12,🥑,9.0,3.0,[61],"[""avocado""]"
13,🥔,9.0,3.0,[],[]
14,🥕,9.0,3.0,[],[]
15,🥝,9.0,3.0,[],[]
35,🥥,10.0,5.0,[71],"[""coconut""]"
27,🦄,8.0,1.0,[190],"[""horse""]"
38,🦆,9.0,3.0,[97],"[""duck""]"
47,🦉,9.0,3.0,[661],"[""owl""]"
43,🦎,9.0,3.0,[182],"[""lizard""]"
41,🦒,10.0,5.0,[158],"[""giraffe""]"
51,🦓,10.0,5.0,[492],"[""zebra""]"
37,🦕,10.0,5.0,[100],"[""dinosaur""]"
42,🦛,11.0,11.0,[187],"[""hippo""]"
