id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
1,[3],"[""ह""]",[3],"[""ɦ""]",2860
2,[22],"[""ै""]",[21],"[""ɛː""]",1248
3,[1],"[""न""]",[1],"[""n""]",1254
4,[15],"[""े""]",[15],"[""eː""]",3765
5,[6],"[""स""]",[6],"[""s""]",1322
7,[23],"[""ु""]",[22],"[""ʊ""]",420
8,[28],"[""छ""]","[7,28]","[""t"",""ʃʰ""]",159
9,[7],"[""त""]",[7],"[""t""]",1131
10,[14],"[""ा""]",[14],"[""aː""]",3003
11,[4],"[""म""]",[4],"[""m""]",1222
12,[43],"[""ध""]",[38],"[""dʱ""]",19
13,[23],"[""ु""]",[36],"[""uː""]",196
14,[2],"[""क""]",[2],"[""k""]",2726
15,[26],"[""ख""]",[26],"[""kʰ""]",197
16,[16],"[""ी""]",[16],"[""iː""]",2126
17,[19],"[""थ""]",[19],"[""tʰ""]",465
18,[9],"[""प""]",[9],"[""p""]",398
19,[24],"[""ि""]",[23],"[""ɪ""]",753
20,[11],"[""ज""]",[31],"[""dʒ""]",519
21,[21],"[""ो""]",[20],"[""oː""]",1267
22,[1],"[""न""]","[1,8]","[""n"",""ə""]",329
23,[25],"[""औ""]",[24],"[""ɔː""]",460
24,[10],"[""र""]",[10],"[""ɾ""]",1739
25,[9],"[""प""]","[9,8]","[""p"",""ə""]",503
26,[18],"[""भ""]",[18],"[""bʱ""]",326
27,[2],"[""क""]","[2,8]","[""k"",""ə""]",473
28,[45],"[""ू""]",[36],"[""uː""]",325
29,[31],"[""ँ""]",[32],"[""◌̃""]",265
30,[12],"[""ब""]","[12,8]","[""b"",""ə""]",276
31,[7],"[""त""]","[7,8]","[""t"",""ə""]",176
32,[29],"[""व""]",[29],"[""ʋ""]",338
33,[6],"[""स""]","[6,8]","[""s"",""ə""]",293
34,[3],"[""ह""]","[3,8]","[""ɦ"",""ə""]",429
35,[10],"[""र""]","[10,8]","[""ɾ"",""ə""]",333
36,[27],"[""च""]","[7,27]","[""t"",""ʃ""]",168
37,[47],"[""ज़""]",[11],"[""z""]",76
38,[12],"[""ब""]",[12],"[""b""]",563
39,[5],"[""ल""]",[5],"[""l""]",677
40,[35],"[""ौ""]",[24],"[""ɔː""]",36
41,[17],"[""द""]",[17],"[""d""]",460
42,[34],"[""ं""]",[32],"[""◌̃""]",1189
43,[38],"[""उ""]",[22],"[""ʊ""]",397
44,[5],"[""ल""]","[5,8]","[""l"",""ə""]",148
45,[4],"[""म""]","[4,8]","[""m"",""ə""]",89
46,[13],"[""य""]","[13,8]","[""j"",""ə""]",122
48,[42],"[""घ""]","[37,8]","[""ɡʱ"",""ə""]",56
49,[50],"[""इ""]",[23],"[""ɪ""]",148
50,[30],"[""ग""]",[30],"[""g""]",233
52,[27],"[""च""]","[7,27,8]","[""t"",""ʃ"",""ə""]",7
53,[37],"[""ट""]",[35],"[""ʈ""]",133
54,[36],"[""ड़""]",[34],"[""ɽ""]",137
55,[20],"[""ए""]",[15],"[""eː""]",491
56,[13],"[""य""]",[13],"[""j""]",497
57,[8],"[""अ""]",[8],"[""ə""]",388
58,[33],"[""ठ""]",[33],"[""ʈʰ""]",43
59,[29],"[""व""]","[29,8]","[""ʋ"",""ə""]",249
60,[54],"[""ष""]",[45],"[""ʂ""]",32
61,[51],"[""श""]",[27],"[""ʃ""]",59
62,[49],"[""झ""]",[31],"[""dʒ""]",73
63,[43],"[""ध""]","[38,8]","[""dʱ"",""ə""]",47
64,[11],"[""ज""]","[31,8]","[""dʒ"",""ə""]",168
65,[30],"[""ग""]","[30,8]","[""g"",""ə""]",238
66,[32],"[""आ""]",[14],"[""aː""]",253
67,[40],"[""ऊ""]",[36],"[""uː""]",43
68,[39],"[""ई""]",[16],"[""iː""]",129
69,[55],"[""फ""]",[46],"[""pʰ""]",68
70,[28],"[""छ""]","[7,28,8]","[""t"",""ʃʰ"",""ə""]",2
71,[17],"[""द""]","[17,8]","[""d"",""ə""]",69
73,[55],"[""फ""]","[46,8]","[""pʰ"",""ə""]",17
74,[41],"[""ओ""]",[20],"[""oː""]",33
75,[36],"[""ड़""]","[34,8]","[""ɽ"",""ə""]",0
77,"[2,44]","[""क"",""्""]",[2],"[""k""]",160
78,[37],"[""ट""]","[35,8]","[""ʈ"",""ə""]",12
79,"[7,44]","[""त"",""्""]",[7],"[""t""]",16
80,"[30,44]","[""ग"",""्""]",[30],"[""g""]",0
81,"[37,44]","[""ट"",""्""]",[35],"[""ʈ""]",5
84,[46],"[""ड""]",[38],"[""dʱ""]",0
85,[44],"[""्""]",[39],"[""∅""]",202
86,[56],"[""ण""]",[47],"[""ɳ""]",1
87,[46],"[""ड""]",[40],"[""ɖ""]",10
88,[47],"[""ज़""]",[49],"[""zə""]",24
89,"[27,44,27]","[""च"",""्"",""च""]","[35,35,27]","[""ʈ"",""ʈ"",""ʃ""]",4
90,"[9,44]","[""प"",""्""]",[9],"[""p""]",0
92,"[46,57]","[""ड"","" ़""]",[34],"[""ɽ""]",0
