id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
14,aː,a:,,false,VOWEL,481666
15,eː,e:,,false,VOWEL,294300
16,iː,i:,,false,VOWEL,173700
2,k,k,,false,CONSONANT,132714
3,ɦ,h\,,false,CONSONANT,129719
10,ɾ,4,,false,CONSONANT,102215
7,t,t,,false,CONSONANT,98232
6,s,s,,false,CONSONANT,91736
1,n,n,,false,CONSONANT,86115
8,ə,@,,false,VOWEL,58555
32,◌̃,~,,false,,50610
20,oː,o:,,false,VOWEL,44334
4,m,m,,false,CONSONANT,41307
23,ɪ,I,,false,VOWEL,35785
5,l,l,,false,CONSONANT,33098
12,b,b,,false,CONSONANT,24611
21,ɛː,E:,,false,VOWEL,18045
9,p,p,,false,CONSONANT,16716
17,d,d,,false,CONSONANT,14552
22,ʊ,U,,false,VOWEL,13810
31,dʒ,dZ,,false,CONSONANT,13221
13,j,j,,false,CONSONANT,10159
36,uː,u:,,false,VOWEL,8124
30,g,g,,false,CONSONANT,7952
29,ʋ,v\,,false,CONSONANT,6278
27,ʃ,S,,false,CONSONANT,5792
18,bʱ,b_h\,,false,CONSONANT,4382
39,∅,*,,false,,4095
19,tʰ,t_h,,false,CONSONANT,3192
26,kʰ,k_h,,false,CONSONANT,2520
35,ʈ,t`,,false,CONSONANT,2164
34,ɽ,r`,,false,CONSONANT,1980
28,ʃʰ,S_h,,false,CONSONANT,1568
24,ɔː,O:,,false,VOWEL,796
33,ʈʰ,t`_h,,false,CONSONANT,616
38,dʱ,d_h\,,false,CONSONANT,292
11,z,z,,false,CONSONANT,284
37,ɡʱ,g_h\,,false,CONSONANT,165
46,pʰ,p_h,,false,CONSONANT,77
40,ɖ,d`,,false,CONSONANT,60
45,ʂ,s`,,false,CONSONANT,54
49,zə,z`,,false,CONSONANT,48
47,ɳ,n`,,false,CONSONANT,1
43,f,f,,false,CONSONANT,0
48,lə,l`,,false,CONSONANT,0
25,x,x,,false,CONSONANT,0
44,ɖʱ,d`_h\,,false,CONSONANT,0
41,ɣ,G,,false,CONSONANT,0
42,ʒ,Z,,false,CONSONANT,0
